Daniel Kwak push up,,,,
time,wx,wy,wz,
6.12017321586609,0.35,0.19,-0.09,
6.12996220588684,0.38,0.08,-0.09,
6.14016628265381,0.36,-0.08,-0.1,
6.14977216720581,0.33,-0.29,-0.1,
6.15981912612915,0.33,-0.48,-0.09,
6.16997528076172,0.34,-0.6,-0.04,
6.18806505203247,0.38,-0.59,0.02,
6.19045305252075,0.36,-0.47,0.1,
6.19938325881958,0.3,-0.35,0.17,
6.20956420898438,0.26,-0.25,0.25,
6.21939325332642,0.23,-0.12,0.34,
6.2294602394104,0.23,0.05,0.43,
6.24007415771484,0.24,0.23,0.48,
6.2491512298584,0.24,0.37,0.46,
6.25910425186157,0.23,0.45,0.36,
6.26928234100342,0.19,0.42,0.23,
6.28786420822144,0.13,0.27,0.15,
6.29027819633484,0.11,-0.01,0.05,
6.29863214492798,0.12,-0.26,-0.06,
6.30885124206543,0.15,-0.38,-0.14,
6.31890630722046,0.23,-0.34,-0.21,
6.32847309112549,0.32,-0.18,-0.31,
6.33867025375366,0.35,0.02,-0.41,
6.34866118431091,0.31,0.16,-0.49,
6.3584771156311,0.22,0.18,-0.57,
6.36853408813477,0.13,0.04,-0.63,
6.38616132736206,0.04,-0.25,-0.64,
6.38850617408752,-0.1,-0.57,-0.6,
6.39788222312927,-0.21,-0.84,-0.52,
6.40832424163818,-0.25,-0.92,-0.41,
6.41827630996704,-0.27,-0.78,-0.32,
6.42793703079224,-0.27,-0.47,-0.28,
6.43778014183044,-0.25,-0.05,-0.24,
6.44769215583801,-0.26,0.41,-0.19,
6.45779323577881,-0.28,0.77,-0.21,
6.4677300453186,-0.31,0.89,-0.3,
6.47869300842285,-0.38,0.72,-0.37,
6.49496412277222,-0.46,0.28,-0.4,
6.49777722358704,-0.5,-0.25,-0.42,
6.50741100311279,-0.54,-0.61,-0.47,
6.51714515686035,-0.53,-0.71,-0.54,
6.52715516090393,-0.52,-0.62,-0.6,
6.53695726394653,-0.52,-0.38,-0.62,
6.54711627960205,-0.58,-0.08,-0.64,
6.55697202682495,-0.63,0.1,-0.65,
6.56698417663574,-0.66,0.08,-0.65,
6.57786130905151,-0.68,-0.08,-0.65,
6.59351634979248,-0.68,-0.26,-0.66,
6.59642815589905,-0.65,-0.31,-0.67,
6.60654520988464,-0.64,-0.11,-0.69,
6.61644816398621,-0.65,0.26,-0.76,
6.62644219398499,-0.67,0.57,-0.87,
6.6363320350647,-0.72,0.63,-0.97,
6.64619731903076,-0.77,0.27,-1.02,
6.65618324279785,-0.85,-0.37,-1,
6.66607713699341,-0.94,-0.98,-0.97,
6.67628622055054,-0.99,-1.26,-0.94,
6.69220614433289,-1.02,-1.06,-0.9,
6.69552230834961,-1.03,-0.5,-0.87,
6.70598912239075,-0.99,0.16,-0.86,
6.71568918228149,-1,0.64,-0.85,
6.72575807571411,-1.02,0.74,-0.84,
6.73562121391296,-1.1,0.43,-0.83,
6.74548721313477,-1.13,-0.01,-0.82,
6.75547504425049,-1.15,-0.31,-0.85,
6.76561617851257,-1.07,-0.34,-0.88,
6.77543616294861,-0.96,-0.18,-0.92,
6.79198503494263,-0.89,0.09,-0.96,
6.79527115821838,-0.95,0.26,-0.95,
6.80527019500732,-1.13,0.21,-0.91,
6.81488919258118,-1.28,0.06,-0.84,
6.82502722740173,-1.24,-0.09,-0.77,
6.83489513397217,-1.08,-0.18,-0.72,
6.8447413444519,-0.87,-0.23,-0.7,
6.85500526428223,-0.63,-0.29,-0.69,
6.86457300186157,-0.33,-0.4,-0.58,
6.87478613853455,0.02,-0.52,-0.37,
6.8909010887146,0.36,-0.58,-0.15,
6.89414024353027,0.57,-0.56,0.13,
6.90448713302612,0.51,-0.56,0.48,
6.91415309906006,0.45,-0.46,0.72,
6.92428612709045,0.52,-0.1,0.84,
6.93405532836914,0.65,0.39,0.91,
6.94427418708801,0.89,0.75,0.95,
6.95398235321045,1.19,0.8,0.96,
6.96386814117432,1.47,0.52,0.96,
6.9739031791687,1.63,0,0.95,
6.98941135406494,1.54,-0.58,0.95,
6.99342203140259,1.29,-0.89,0.99,
7.00387620925903,1.27,-0.82,1.04,
7.01340913772583,1.49,-0.45,1.04,
7.02360320091248,1.8,0.07,1.02,
7.03342008590698,2.05,0.4,1.03,
7.04328918457031,2.01,0.29,1.12,
7.05329918861389,1.55,-0.1,1.26,
7.06339406967163,1.21,-0.42,1.33,
7.07360124588013,1.16,-0.34,1.27,
7.0921950340271,1.3,0.21,1.15,
7.09458303451538,1.51,0.89,1.03,
7.10292220115662,1.57,1.3,0.98,
7.11269021034241,1.33,1.3,1.09,
7.12286806106567,1.06,0.91,1.23,
7.13265514373779,0.96,0.5,1.21,
7.14267206192017,0.99,0.28,1.07,
7.15276908874512,1.02,0.12,0.88,
7.16284322738648,1.07,-0.14,0.76,
7.17261123657227,1.06,-0.4,0.8,
7.19026112556458,0.92,-0.45,0.95,
7.19272112846375,0.77,-0.25,1,
7.20237016677856,0.72,0.15,0.88,
7.21212220191956,0.64,0.49,0.74,
7.22216129302979,0.51,0.48,0.68,
7.23177909851074,0.31,0.1,0.82,
7.24237322807312,0.15,-0.39,1.06,
7.2518801689148,0.17,-0.52,1.24,
7.26189923286438,0.31,-0.03,1.23,
7.27182722091675,0.38,0.95,0.97,
7.28271102905273,0.37,1.83,0.63,
7.29963612556458,0.25,2.04,0.42,
7.30236005783081,0.05,1.5,0.32,
7.31135034561157,-0.09,0.54,0.38,
7.32123112678528,-0.13,-0.35,0.39,
7.33119821548462,-0.01,-0.64,0.24,
7.34126424789429,0.1,-0.23,0.06,
7.35112428665161,0.17,0.41,-0.17,
7.3611330986023,0.21,0.7,-0.38,
7.3711142539978,0.14,0.41,-0.39,
7.38198614120483,0,-0.31,-0.24,
7.39781332015991,-0.15,-1.09,0.01,
7.40089821815491,-0.26,-1.56,0.28,
7.41060519218445,-0.28,-1.44,0.53,
7.42066431045532,-0.32,-0.75,0.66,
7.43045806884766,-0.27,0.2,0.6,
7.44048404693604,-0.17,1.1,0.5,
7.45065522193909,-0.13,1.62,0.4,
7.46024012565613,-0.19,1.66,0.38,
7.47047901153564,-0.26,1.38,0.33,
7.4803671836853,-0.26,1,0.22,
7.49735713005066,-0.29,0.65,0.04,
7.50013828277588,-0.37,0.29,-0.17,
7.50985622406006,-0.47,-0.05,-0.34,
7.51990818977356,-0.52,-0.34,-0.44,
7.52973031997681,-0.48,-0.53,-0.46,
7.53967618942261,-0.43,-0.59,-0.48,
7.5497841835022,-0.4,-0.48,-0.54,
7.55974626541138,-0.54,-0.25,-0.42,
