time,wx,wy,wz
3.94316411,-0.59,0.16,0.11
3.954329014,-0.64,0.34,-0.03
3.963976145,-0.62,0.38,-0.04
3.980085135,-0.5,0.23,0.06
3.983391285,-0.33,-0.04,0.25
3.994101048,-0.29,-0.3,0.47
4.002750158,-0.37,-0.42,0.54
4.014239311,-0.55,-0.31,0.44
4.023121119,-0.71,-0.11,0.27
4.032844067,-0.74,0.11,0.1
4.043462276,-0.68,0.32,0.03
4.054518223,-0.56,0.32,0.12
4.064221144,-0.48,0.13,0.29
4.079852104,-0.51,-0.13,0.48
4.083320141,-0.65,-0.26,0.57
4.093755245,-0.83,-0.1,0.52
4.102866173,-0.97,0.21,0.4
4.113934994,-1.01,0.44,0.32
4.122974157,-1.05,0.6,0.27
4.132944107,-1.07,0.58,0.3
4.142726183,-1.09,0.45,0.39
4.154929161,-1.14,0.25,0.57
4.164270163,-1.24,0.07,0.77
4.180339098,-1.39,-0.01,0.91
4.182482243,-1.59,0.1,0.96
4.193983078,-1.83,0.39,0.96
4.202857018,-2.02,0.72,0.93
4.213376045,-2.06,0.95,0.93
4.222716093,-2.05,1.02,1.04
4.232577324,-2.02,0.93,1.27
4.243264198,-1.88,0.71,1.53
4.254328251,-1.83,0.37,1.79
4.263936996,-1.66,0.2,2.02
4.279553175,-1.32,0.19,1.92
4.283105135,-0.85,0.11,1.48
4.293429136,-0.36,0.31,0.92
4.302198172,-0.03,0.58,0.39
4.313728094,0.15,0.67,-0.01
4.322455168,0.25,0.57,-0.42
4.33199501,0.25,0.47,-0.78
4.342646122,0.26,0.46,-1.03
4.355037212,0.16,0.39,-1.06
4.363733292,-0.02,0.34,-0.87
4.380208015,-0.3,0.2,-0.6
4.382779121,-0.64,-0.12,-0.21
4.393831253,-0.83,-0.55,0.22
4.402307034,-0.78,-0.88,0.55
4.413118124,-0.49,-1.11,0.63
4.422150135,-0.16,-1.09,0.53
4.432060242,0.19,-0.81,0.25
4.442378998,0.5,-0.41,-0.26
4.45374918,0.71,0.09,-0.63
4.463623047,0.78,0.47,-0.82
4.47995019,0.85,0.52,-0.99
4.482061148,1.03,0.14,-1.21
4.4929533,1.08,-0.48,-1.37
4.502130985,1.23,-0.96,-1.55
4.512760162,1.32,-0.76,-1.58
4.522037983,1.22,0.03,-1.23
4.531805038,1.07,0.4,-0.7
4.542053223,1.14,-0.2,-0.48
4.553784132,1.3,-1.26,-0.63
4.563243151,1.31,-2.31,-1.02
4.579758167,1.12,-2.38,-1.55
4.582372189,1.16,-1.16,-1.93
4.593010187,1.27,0.82,-1.68
4.601678133,1.4,1.44,-1.06
4.612867117,1.54,0.31,-0.74
4.621553183,1.54,-1.22,-0.7
4.631703138,1.47,-1.93,-0.89
4.6420331,1.38,-1.55,-1.04
4.653063297,1.23,-0.62,-1.04
4.662895203,1.21,-0.22,-0.99
4.678158283,1.05,-0.03,-0.95
4.682672024,1,0.07,-1.11
4.692564011,0.96,0.1,-1.23
4.701751232,0.74,0.03,-1.17
4.712879181,0.62,-0.07,-1.07
4.721796036,0.5,-0.09,-1
4.732612133,0.46,-0.1,-0.77
4.742393017,0.54,-0.14,-0.6
4.753898144,0.68,-0.12,-0.45
4.763403177,0.74,-0.04,-0.25
4.780317307,0.61,-0.21,-0.1
4.782064199,0.61,-0.21,-0.1
4.792659283,0.5,-0.23,-0.13
4.801636219,0.45,-0.06,-0.23
4.812477112,0.38,0.22,-0.19
4.821322203,0.35,0.46,-0.13
4.832015038,0.29,0.54,0.02
4.842045307,0.21,0.38,0.23
4.853033066,0.17,0.14,0.4
4.862894058,0.2,-0.11,0.53
4.878791094,0.26,-0.28,0.55
4.881529093,0.27,-0.26,0.51
4.892398119,0.23,-0.05,0.4
4.901358128,0.1,0.08,0.32
4.91215229,-0.08,0.19,0.26
4.921301126,-0.15,0.3,0.14
4.931354046,-0.16,0.22,0.14
4.941089153,-0.08,0.09,0.18
4.95314312,0,0.05,0.21
4.96265316,0.01,0.03,0.27
4.978784084,-0.07,0.04,0.28
4.981127262,-0.21,0.12,0.15
4.991727114,-0.37,0.25,-0.06
5.001042128,-0.48,0.36,-0.17
5.011989117,-0.49,0.47,-0.21
5.021187305,-0.44,0.44,-0.13
5.030926228,-0.34,0.26,0.09
5.041769981,-0.26,-0.02,0.39
5.052903175,-0.27,-0.33,0.65
5.062477112,-0.3,-0.46,0.71
5.078423977,-0.34,-0.36,0.6
5.080658197,-0.36,-0.11,0.47
5.092079163,-0.37,0.19,0.3
5.101016045,-0.38,0.43,0.22
5.112107277,-0.42,0.49,0.27
5.120984077,-0.46,0.35,0.39
5.131061077,-0.45,0.1,0.55
5.140442133,-0.45,-0.14,0.73
5.153310299,-0.48,-0.27,0.82
5.162219048,-0.51,-0.29,0.73
5.179116249,-0.55,-0.18,0.62
5.181404114,-0.65,0.01,0.54
5.192008018,-0.72,0.12,0.45
5.200544119,-0.8,0.19,0.46
5.211853027,-0.85,0.19,0.53
5.220472097,-0.9,0.12,0.6
5.230586052,-0.94,0,0.68
5.240466118,-0.97,-0.1,0.74
5.253177166,-1.05,-0.14,0.78
5.261551142,-1.12,-0.11,0.78
5.277846098,-1.2,-0.04,0.8
5.281156063,-1.32,0.08,0.84
5.291483164,-1.47,0.17,0.88
5.300633192,-1.72,0.23,0.91
5.31145215,-1.98,0.3,0.95
5.320384979,-2.18,0.42,0.95
5.330620289,-2.35,0.56,0.98
5.340544224,-2.4,0.63,1.06
5.352190971,-2.35,0.63,1.18
5.361996174,-2.3,0.57,1.36
5.378303051,-2.23,0.42,1.57
5.380796194,-2.18,0.1,1.72
5.391486168,-1.97,-0.27,1.76
5.400228977,-1.63,-0.53,1.64
5.411416054,-1.27,-0.52,1.33
5.420594215,-0.87,-0.34,0.92
5.430480003,-0.52,0,0.44
5.441090107,-0.29,0.33,-0.01
5.452155113,-0.01,0.51,-0.36
5.462295055,0.2,0.56,-0.56
5.476857185,0.35,0.49,-0.61
5.480817318,0.42,0.26,-0.56
5.490902185,0.44,-0.06,-0.49
5.50030899,0.5,-0.29,-0.47
5.510925293,0.52,-0.34,-0.52
5.519974232,0.56,-0.27,-0.62
5.530131102,0.71,-0.18,-0.72
5.540744305,0.9,-0.12,-0.81
5.552466154,1.08,-0.11,-0.9
5.561848164,1.23,-0.17,-1.04
5.57835412,1.37,-0.27,-1.18
5.580292225,1.61,-0.32,-1.3
5.590918064,1.74,-0.26,-1.38
5.599822044,1.72,-0.17,-1.36
5.611036301,1.53,-0.13,-1.23
5.619981289,1.48,-0.04,-1.18
5.630048275,1.56,0.13,-1.11
5.639621258,1.68,0.17,-0.81
5.652180195,1.79,-0.22,-0.52
5.661092281,2.01,-1.03,-0.47
5.677605152,2.09,-1.66,-0.63
5.67982316,2.08,-1.84,-0.78
5.690960169,1.66,-1.2,-0.82
5.699768066,1.42,-0.13,-0.95
5.710900307,1.53,0.67,-0.99
5.719910145,1.54,0.62,-0.69
5.729815006,1.5,-0.16,-0.5
5.740528107,1.54,-0.81,-0.6
5.75154829,1.35,-0.52,-0.71
5.761177063,1.25,0.06,-0.65
5.777726173,1.02,0.3,-0.51
5.780225277,0.91,-0.01,-0.48
5.791044235,0.98,-0.19,-0.47
5.799451113,0.88,-0.08,-0.45
5.810657024,0.91,0.1,-0.51
5.819427013,0.75,0.21,-0.5
5.830007076,0.52,0.09,-0.45
5.839451313,0.32,0.09,-0.53
5.850336075,0.06,0.31,-0.58
5.860574245,-0.01,0.62,-0.69
