time,wx,wy,wz
7.436880112,-0.03,-0.07,-0.09
7.443479061,-0.08,0,-0.02
7.453901052,-0.11,0.07,0.04
7.464064121,-0.04,0.09,0.06
7.473560095,-0.05,0.06,-0.03
7.483669043,-0.06,0.03,-0.13
7.494348049,-0.02,0.03,-0.17
7.504213095,-0.01,0,-0.16
7.51447916,0,-0.01,-0.08
7.530457973,-0.02,0,0
7.545928955,-0.01,0,0.02
7.546344042,-0.01,0,0.02
7.552490234,-0.03,0.01,-0.03
7.568470001,0,-0.03,-0.09
7.572731018,0.04,-0.03,-0.11
7.583121061,0.02,-0.02,-0.07
7.592255116,0,-0.03,-0.02
7.602566004,0.01,-0.03,0.02
7.612807035,-0.02,0.02,0.03
7.626250029,-0.03,0.04,0.02
7.636787891,-0.02,0.04,-0.06
7.641577005,-0.02,0.03,-0.12
7.652848005,-0.01,0,-0.11
7.661812067,0,-0.02,-0.02
7.672305107,0,0.02,0.07
7.682248116,-0.01,0.02,0.1
7.691613197,-0.01,0.01,0.05
7.702105999,0.01,0,-0.01
7.713068962,0.02,0,-0.03
7.727739096,0.02,0.05,0.04
7.742968082,-0.04,0.06,0.16
7.743593216,-0.04,0.06,0.16
7.75193119,-0.03,0.05,0.08
7.761486053,-0.02,0.04,0
7.771905899,-0.01,0.01,-0.09
7.780644894,-0.01,0.01,-0.09
7.791240215,-0.02,0.05,0.01
7.801477909,-0.06,0.1,0.12
7.811791897,-0.06,0.11,0.15
7.827574015,-0.05,0.09,0.08
7.843286037,-0.03,0.04,-0.06
7.843808174,-0.03,0.04,-0.06
7.85125494,0,0.02,-0.05
7.860977173,0.01,0.03,0
7.871535063,-0.01,0.08,0.11
7.88134408,-0.05,0.12,0.16
7.890326023,-0.05,0.11,0.13
7.901083946,-0.05,0.1,0.08
7.911176205,-0.02,0.09,0.04
7.927007198,-0.01,0.06,0.04
7.940026999,-0.01,0.1,0.07
7.942965984,-0.01,0.1,0.07
7.950409889,-0.02,0.09,0.12
7.960304022,-0.03,0.13,0.16
7.970880032,-0.06,0.15,0.2
7.98090601,-0.07,0.16,0.21
7.990066051,-0.1,0.18,0.21
8.001027107,-0.13,0.2,0.22
8.010509014,-0.15,0.19,0.24
8.034357071,-0.16,0.23,0.24
8.034799099,-0.16,0.23,0.24
8.039371967,-0.2,0.24,0.24
8.050307035,-0.22,0.25,0.25
8.059502125,-0.25,0.24,0.26
8.070339203,-0.22,0.22,0.27
8.079785109,-0.24,0.22,0.27
8.089746952,-0.26,0.24,0.26
8.099470139,-0.32,0.27,0.26
8.110793114,-0.36,0.25,0.24
8.120482922,-0.3,0.24,0.21
8.139982224,-0.12,0.22,0.18
8.140437126,-0.12,0.22,0.18
8.149410009,-0.12,0.17,0.17
