time,wx (rad/s),wy (rad/s),wz (rad/s)
2.407,-1.33,-0.6,-2.86
2.413,-1.38,-0.69,-2.89
2.416,-1.43,-0.78,-2.93
2.419,-1.47,-0.88,-2.96
2.423,-1.52,-1.01,-3.02
2.428,-1.55,-1.09,-3.06
2.434,-1.55,-1.17,-3.11
2.436,-1.54,-1.24,-3.17
2.439,-1.53,-1.29,-3.22
2.443,-1.53,-1.28,-3.27
2.45,-1.5,-1.24,-3.28
2.451,-1.45,-1.18,-3.26
2.456,-1.38,-1.1,-3.22
2.46,-1.26,-0.96,-3.13
2.47,-1.18,-0.82,-3.03
2.471,-1.09,-0.61,-2.84
2.474,-1.04,-0.52,-2.7
2.475,-0.97,-0.43,-2.45
2.48,-0.87,-0.4,-2.04
2.483,-0.79,-0.46,-1.69
2.487,-0.7,-0.56,-1.34
2.491,-0.59,-0.65,-0.99
2.496,-0.44,-0.66,-0.54
2.499,-0.33,-0.56,-0.23
2.503,-0.23,-0.39,0.07
2.507,-0.13,-0.2,0.36
2.513,-0.02,-0.02,0.64
2.515,0.14,0.13,0.96
2.52,0.28,0.18,1.16
2.523,0.42,0.21,1.33
2.528,0.55,0.22,1.49
2.532,0.68,0.23,1.62
2.535,0.83,0.25,1.78
2.539,0.94,0.26,1.89
2.543,1.04,0.25,1.99
2.547,1.14,0.23,2.08
2.552,1.22,0.19,2.16
2.555,1.33,0.14,2.25
2.559,1.41,0.11,2.3
2.564,1.48,0.1,2.34
2.568,1.54,0.12,2.38
2.571,1.61,0.16,2.43
2.575,1.64,0.19,2.46
2.584,1.68,0.22,2.49
2.585,1.71,0.23,2.52
2.587,1.75,0.22,2.57
2.592,1.78,0.19,2.63
2.602,1.81,0.19,2.64
2.604,1.82,0.21,2.63
2.604,1.81,0.27,2.6
2.607,1.76,0.36,2.55
2.612,1.71,0.44,2.5
2.615,1.67,0.51,2.45
2.619,1.64,0.57,2.39
2.623,1.63,0.6,2.3
2.627,1.64,0.61,2.15
2.632,1.67,0.61,2.03
2.635,1.7,0.59,1.91
2.639,1.73,0.57,1.82
2.643,1.76,0.53,1.74
2.648,1.77,0.5,1.68
2.651,1.78,0.51,1.64
2.655,1.77,0.55,1.6
2.659,1.73,0.65,1.57
2.664,1.61,0.82,1.6
2.667,1.46,0.96,1.66
2.671,1.26,1.1,1.76
2.675,1.05,1.24,1.86
2.68,0.88,1.38,1.96
2.683,0.73,1.55,2.06
2.687,0.66,1.65,2.09
2.691,0.62,1.7,2.08
2.696,0.62,1.66,2.03
2.701,0.66,1.51,1.93
2.703,0.75,1.13,1.74
2.707,0.8,0.78,1.57
2.713,0.79,0.43,1.4
2.715,0.73,0.11,1.28
2.719,0.58,-0.25,1.21
2.723,0.46,-0.45,1.23
2.727,0.37,-0.57,1.29
2.731,0.34,-0.61,1.37
2.736,0.38,-0.51,1.47
2.739,0.45,-0.31,1.5
2.743,0.54,-0.03,1.49
2.752,0.62,0.31,1.43
2.753,0.67,0.67,1.32
2.758,0.67,1.03,1.19
2.76,0.57,1.42,1.02
2.778,0.44,1.59,0.91
2.779,0.3,1.61,0.84
2.78,0.2,1.47,0.8
2.782,0.14,1.06,0.81
2.783,0.16,0.65,0.84
2.783,0.22,0.2,0.89
2.787,0.32,-0.24,0.93
2.791,0.44,-0.63,0.95
2.796,0.57,-1,0.93
2.8,0.6,-1.15,0.88
2.803,0.56,-1.18,0.81
2.807,0.46,-1.12,0.74
2.814,0.32,-0.95,0.68
2.819,0.24,-0.76,0.68
2.821,0.24,-0.44,0.73
2.823,0.27,-0.25,0.76
2.827,0.36,0.03,0.79
2.831,0.47,0.43,0.8
2.836,0.51,0.73,0.77
2.839,0.5,1,0.72
2.843,0.43,1.21,0.65
2.848,0.35,1.35,0.58
2.852,0.28,1.38,0.52
2.856,0.27,1.3,0.49
2.859,0.29,1.14,0.46
2.869,0.32,0.93,0.43
2.87,0.33,0.64,0.38
2.872,0.3,0.44,0.33
2.876,0.26,0.25,0.27
2.893,0.21,0.08,0.21
2.894,0.19,-0.08,0.15
2.897,0.2,-0.29,0.09
2.898,0.24,-0.44,0.05
2.899,0.29,-0.56,0.03
2.899,0.31,-0.66,0
2.903,0.32,-0.72,-0.01
2.907,0.27,-0.74,-0.02
2.913,0.23,-0.72,0
2.915,0.2,-0.68,0.03
2.92,0.2,-0.63,0.08
2.923,0.24,-0.54,0.14
2.927,0.29,-0.44,0.19
2.931,0.32,-0.32,0.21
2.936,0.33,-0.15,0.21
2.939,0.32,0.04,0.2
2.944,0.3,0.3,0.18
2.948,0.28,0.48,0.16
2.951,0.27,0.62,0.15
2.956,0.26,0.7,0.13
2.959,0.26,0.72,0.11
2.963,0.24,0.68,0.09
2.968,0.21,0.61,0.06
2.971,0.18,0.51,0.03
2.975,0.13,0.36,-0.01
2.98,0.09,0.25,-0.04
2.984,0.04,0.15,-0.07
2.987,-0.01,0.05,-0.09
2.991,-0.06,-0.05,-0.12
2.996,-0.11,-0.13,-0.14
3,-0.2,-0.23,-0.16
3.003,-0.27,-0.28,-0.18
3.007,-0.33,-0.33,-0.19
3.018,-0.38,-0.36,-0.19
3.019,-0.43,-0.37,-0.18
3.02,-0.45,-0.36,-0.17
3.023,-0.48,-0.32,-0.14
3.028,-0.52,-0.25,-0.11
3.04,-0.56,-0.16,-0.09
3.041,-0.61,-0.03,-0.05
3.042,-0.63,0.06,-0.04
3.043,-0.63,0.14,-0.02
3.051,-0.63,0.2,-0.01
3.053,-0.62,0.25,0
3.056,-0.61,0.28,0.01
3.06,-0.6,0.29,0.01
3.064,-0.61,0.27,0.01
3.068,-0.62,0.25,0.01
3.071,-0.64,0.22,0
3.075,-0.66,0.19,-0.01
3.081,-0.66,0.16,-0.04
3.083,-0.65,0.13,-0.07
3.087,-0.63,0.09,-0.12
3.091,-0.6,0.07,-0.18
3.096,-0.58,0.08,-0.22
3.099,-0.59,0.09,-0.25
3.103,-0.61,0.11,-0.28
3.107,-0.62,0.11,-0.3
3.113,-0.62,0.07,-0.33
3.116,-0.62,0.02,-0.35
3.119,-0.61,-0.02,-0.37
3.123,-0.61,-0.05,-0.38
3.127,-0.63,-0.08,-0.41
3.132,-0.66,-0.08,-0.43
3.136,-0.69,-0.09,-0.45
3.139,-0.72,-0.1,-0.46
3.143,-0.73,-0.12,-0.48
3.153,-0.75,-0.16,-0.5
3.154,-0.75,-0.19,-0.52
3.155,-0.74,-0.2,-0.53
3.16,-0.72,-0.2,-0.54
3.179,-0.7,-0.18,-0.55
3.18,-0.69,-0.12,-0.58
3.18,-0.68,-0.05,-0.59
3.181,-0.68,0.02,-0.62
3.181,-0.69,0.07,-0.65
3.183,-0.7,0.14,-0.67
3.187,-0.71,0.16,-0.69
3.191,-0.73,0.16,-0.71
3.197,-0.74,0.12,-0.73
3.199,-0.74,0.06,-0.76
3.203,-0.75,-0.06,-0.8
3.208,-0.76,-0.16,-0.84
3.213,-0.78,-0.27,-0.88
3.216,-0.82,-0.39,-0.93
3.219,-0.83,-0.48,-0.97
3.223,-0.83,-0.55,-1.01
3.227,-0.81,-0.61,-1.05
3.231,-0.8,-0.64,-1.1
3.235,-0.79,-0.64,-1.15
3.239,-0.8,-0.61,-1.23
3.243,-0.81,-0.58,-1.28
3.248,-0.81,-0.57,-1.34
3.251,-0.82,-0.56,-1.38
3.255,-0.82,-0.57,-1.41
3.259,-0.82,-0.58,-1.46
3.264,-0.81,-0.57,-1.49
3.267,-0.8,-0.55,-1.52
3.271,-0.8,-0.51,-1.55
3.275,-0.82,-0.43,-1.61
3.28,-0.84,-0.36,-1.65
3.283,-0.85,-0.29,-1.7
3.287,-0.86,-0.24,-1.76
3.291,-0.87,-0.22,-1.82
3.304,-0.89,-0.26,-1.9
3.305,-0.89,-0.32,-1.97
3.306,-0.89,-0.39,-2.04
3.307,-0.89,-0.45,-2.11
3.312,-0.89,-0.51,-2.19
3.326,-0.91,-0.56,-2.29
3.328,-0.93,-0.58,-2.36
3.329,-0.95,-0.59,-2.42
3.33,-0.97,-0.6,-2.48
3.331,-0.98,-0.6,-2.54
3.336,-1.01,-0.62,-2.59
3.339,-1.04,-0.65,-2.64
3.343,-1.08,-0.68,-2.7
3.347,-1.11,-0.71,-2.75
3.352,-1.16,-0.76,-2.82
3.355,-1.19,-0.8,-2.86
3.359,-1.21,-0.85,-2.9
3.364,-1.23,-0.92,-2.95
3.368,-1.24,-1.01,-3
3.371,-1.23,-1.13,-3.07
3.375,-1.23,-1.19,-3.12
3.381,-1.21,-1.21,-3.16
3.383,-1.19,-1.18,-3.18
3.387,-1.13,-1.08,-3.21
3.392,-1.08,-0.97,-3.21
3.396,-1.02,-0.84,-3.19
3.4,-0.95,-0.69,-3.13
3.403,-0.89,-0.55,-3.04
3.407,-0.8,-0.37,-2.83
3.413,-0.74,-0.24,-2.65
3.416,-0.68,-0.12,-2.44
3.42,-0.63,-0.02,-2.23
3.423,-0.56,0.06,-1.94
3.428,-0.51,0.07,-1.71
3.432,-0.46,0.05,-1.49
3.435,-0.4,0.02,-1.27
3.439,-0.35,-0.01,-1.05
3.443,-0.3,-0.03,-0.75
3.451,-0.25,-0.02,-0.53
3.452,-0.21,0,-0.32
3.457,-0.13,0.04,-0.06
3.46,-0.09,0.06,0.05
3.47,0.02,0.12,0.26
3.472,0.12,0.18,0.42
3.473,0.21,0.25,0.58
3.476,0.31,0.33,0.75
3.48,0.41,0.44,0.99
3.483,0.48,0.51,1.18
3.487,0.54,0.56,1.36
3.491,0.61,0.57,1.53
3.497,0.68,0.53,1.68
3.499,0.79,0.42,1.85
3.503,0.88,0.33,1.96
3.507,0.96,0.24,2.06
3.513,1.04,0.2,2.15
3.518,1.13,0.2,2.26
3.519,1.19,0.24,2.33
3.523,1.25,0.29,2.38
3.527,1.3,0.34,2.43
3.531,1.34,0.37,2.49
3.536,1.38,0.39,2.56
3.539,1.4,0.39,2.6
3.543,1.42,0.37,2.64
3.547,1.43,0.34,2.67
3.551,1.42,0.3,2.7
3.555,1.42,0.24,2.72
3.559,1.43,0.2,2.69
3.568,1.44,0.18,2.64
3.57,1.46,0.18,2.55
3.574,1.47,0.23,2.45
3.576,1.44,0.38,2.33
3.586,1.39,0.53,2.27
3.588,1.32,0.68,2.22
3.589,1.26,0.81,2.17
3.592,1.2,0.93,2.1
3.598,1.16,0.98,2.07
3.6,1.11,0.99,2.04
3.603,1.06,0.95,2.02
3.607,1.03,0.86,1.99
3.611,1,0.67,1.93
3.619,1.01,0.47,1.86
3.62,1.04,0.26,1.76
3.623,1.08,0.07,1.64
3.627,1.12,-0.12,1.45
3.632,1.11,-0.18,1.34
3.635,1.08,-0.17,1.27
3.639,1.02,-0.09,1.27
3.643,0.97,0.03,1.32
3.648,0.93,0.2,1.44
3.651,0.94,0.31,1.52
3.655,0.97,0.41,1.59
3.659,1,0.51,1.63
3.663,1.02,0.6,1.65
3.667,1.03,0.7,1.64
3.671,1.03,0.76,1.61
3.675,1,0.8,1.56
3.68,0.93,0.83,1.49
3.683,0.78,0.88,1.41
3.687,0.64,0.93,1.37
3.691,0.55,0.99,1.36
3.696,0.54,1.04,1.36
3.699,0.57,1.09,1.37
3.703,0.66,1.12,1.37
3.707,0.72,1.13,1.35
3.712,0.77,1.11,1.33
3.718,0.82,1.07,1.3
3.72,0.87,0.98,1.26
3.728,0.91,0.78,1.18
